Account_ID,accountCategoryCode,customerTypeCode,industryCode,primaryContactId,accountNumber,name,revenue,stateCode,account_start_dt,Account_end_dt
325,Checking Account,Trusts,6,6077,SI73 0421 0592 0334 875,Ernestus Chiles,544790,active,6/29/2019,7/11/2022
580,CID,Companies,9,6023,DO62 YQEF 3167 4447 7427 8740 7406,Hillier Norrey,319772,inactive,4/1/2016,12/31/2025
987,Savings Account,Companies,9,6078,MU67 HFBR 0691 9620 9454 3156 338U BO,Chuck Glackin,149446,active,9/20/2016,12/5/2027
226,Savings Account,Clubs and Associations,4,6054,HR15 4956 3773 2970 6347 9,Pacorro Frankom,185106,active,8/3/2017,12/29/2026
378,CID,Trusts,9,6044,MC45 3057 8297 20LO XQSV S4CL S92,Rachel McElrea,525450,inactive,3/26/2016,10/29/2025
71,Savings Account,Companies,5,6040,HU66 7835 9329 5275 8591 3710 5850,Remus Sunter,519254,active,4/26/2020,7/6/2022
727,Savings Account,Limited Liability,9,6035,AE26 0149 6969 8651 4098 290,Sanders Luberti,192347,active,10/16/2020,11/25/2023
331,Checking Account,Trusts,5,6056,IS87 8693 0329 9677 4737 2331 54,Pollyanna Huard,68102,active,10/30/2020,8/14/2026
903,Savings Account,Limited Liability,6,6055,FR36 5438 9369 47GI TLWW LIGL O14,Kirstin Boullen,282037,inactive,2/10/2018,7/4/2022
571,CID,Partnership Firms,9,6024,HR82 8053 7635 3861 3110 6,Milt Maystone,554735,active,4/21/2016,1/21/2025
502,Checking Account,Companies,5,6042,BA28 6054 2415 8277 0758,Syman Rowlin,816164,inactive,4/26/2017,3/21/2024
879,Checking Account,Individuals Joint,5,6082,FR49 6474 9448 57YA YWHC AWEC M49,Esma Castard,942430,inactive,6/5/2016,6/12/2023
593,Checking Account,Clubs and Associations,5,6072,CZ84 7902 3798 9315 2493 3081,Katharyn Joannidi,374153,inactive,12/24/2016,10/2/2026
907,Checking Account,Individuals Joint,9,6018,FO93 9203 6662 3716 27,Adorne Hinkley,832904,inactive,5/17/2017,3/7/2025
