contactId,customerTypeCode,preferredContactMethod,BranchName,accountId,jobTitle,FullName,department,birthDate,annualIncome,MaritalStatus,numberOfChildren,TelePhone,Address_id
6077,Limited Liability,Fax,Nader Group,325,Administrative Officer,Genovera Klawi,Research and Development,3/20/1961,83875552,Married,3,43406-0099,522
6023,Limited Liability,Fax,"Lesch, D'Amore and Kuhlman",580,Programmer IV,Dorette Tunkin,Engineering,4/4/1962,95970496,Married,6,50436-5559,896
6078,Limited Liability,Mobile,Pfeffer-Quitzon,987,Programmer IV,Thekla Foster-Smith,Research and Development,4/13/1996,16784858,Married,2,41250-462,775
6054,Companies,Mobile,"Koelpin, Feeney and Jaskolski",226,Project Manager,Sande Darrington,Support,11/7/1964,53688206,Married,3,13107-123,449
6044,Clubs and Associations,Email,"Orn, Schiller and Bartell",378,Structural Analysis Engineer,Cami Doget,Human Resources,9/6/1980,3497000,Married,3,51619-300,951
6040,Trusts,Email,"Lang, Fisher and Jacobs",71,Financial Advisor,Georgetta Dennerley,Product Management,11/30/1972,30784055,Married,6,54569-0510,307
6035,Individuals Joint,Mobile,"Schmidt, Bartoletti and Schaden",727,Biostatistician II,Vivia Chaplain,Engineering,1/30/1987,48589350,Married,3,76070-130,377
6056,Clubs and Associations,Mobile,"Schneider, Powlowski and Botsford",331,Occupational Therapist,Stu Kiltie,Training,2/23/1999,61193760,Married,4,47219-250,974
6055,Trusts,Mobile,"Cartwright, Padberg and Durgan",903,Desktop Support Technician,Andee Jenks,Support,9/3/1985,22262922,Married,3,53808-0341,412
6024,Clubs and Associations,Mobile,"Harvey, Konopelski and Bednar",571,Structural Engineer,Consuela Gatteridge,Accounting,8/12/1972,93312207,Married,4,0363-4014,821
6042,Clubs and Associations,Email,"Herzog, Kilback and Bechtelar",502,Tax Accountant,Ynez Robbings,Accounting,6/8/1998,80918056,Single,6,50114-6150,260
6082,Limited Liability,Office,"Tremblay, Lakin and Hirthe",879,Budget/Accounting Analyst IV,Jim Woolmington,Product Management,5/5/1989,9237292,Married,4,36987-1731,547
6072,Companies,Email,"Lubowitz, Goyette and Daugherty",593,VP Accounting,Gigi Ellesworth,Human Resources,11/26/1978,80692056,Single,6,43353-061,807
6018,Clubs and Associations,Email,Legros Group,907,VP Product Management,Crosby Lydster,Marketing,1/21/1986,58480341,Married,6,54569-5785,701
6059,Individuals Joint,Mobile,Dibbert and Sons,149,Automation Specialist I,Anna Cardenas,Accounting,7/8/1968,9825013,Single,2,63629-1566,294
6031,Companies,Email,Dickinson Group,310,Legal Assistant,Sindee Conws,Business Development,8/13/1974,9126365,Married,4,0179-8012,835
6041,Clubs and Associations,Fax,Effertz and Sons,425,Senior Cost Accountant,Feliks Diegan,Services,4/16/1979,85010936,Single,6,42254-086,817
6064,Partnership Firms,Email,Johnston LLC,170,Analyst Programmer,Uta O'Shee,Research and Development,3/19/1964,14055708,Married,3,98132-924,796
